target_id,target_index,case,edge_index,edge_mask_value
148964,2,1,0,0.6932
148964,2,1,1,0.3094
148964,2,1,2,0.6538
148964,2,1,3,0.6652
148964,2,1,4,0.3536
148964,2,1,5,0.3636
148964,2,1,6,0.3769
148964,2,1,7,0.4942
148964,2,1,8,0.3876
148964,2,1,9,0.5822
148964,2,1,10,0.5333
148964,2,1,11,0.6685
148964,2,1,12,0.5023
148964,2,1,13,0.3983
148964,2,1,14,0.3825
148964,2,1,15,0.3838
148964,2,1,16,0.7296
148964,2,1,17,0.3668
148964,2,1,18,0.2935
148964,2,1,19,0.6744
148964,2,1,20,0.71
148964,2,1,21,0.4441
148964,2,1,22,0.3871
148964,2,1,23,0.6731
148964,2,1,24,0.3474
148964,2,1,25,0.4949
148964,2,1,26,0.6615
148964,2,1,27,0.458
148964,2,1,28,0.7483
148964,2,1,29,0.7225
148964,2,1,30,0.3905
148964,2,1,31,0.3436
148964,2,1,32,0.3568
148964,2,1,33,0.455
148964,2,1,34,0.4829
148964,2,1,35,0.5049
148964,2,1,36,0.3782
148964,2,1,37,0.3909
148964,2,1,38,0.7165
148964,2,1,39,0.4337
148964,2,1,40,0.4342
148964,2,1,41,0.3412
148964,2,1,42,0.3229
148964,2,1,43,0.3861
148964,2,1,44,0.3634
148964,2,1,45,0.3793
148964,2,1,46,0.4967
148964,2,1,47,0.3784
148964,2,1,48,0.3497
148964,2,1,49,0.3761
148964,2,1,50,0.4716
148964,2,1,51,0.4856
148964,2,1,52,0.3455
148964,2,1,53,0.4297
148964,2,1,54,0.3764
148964,2,1,55,0.3992
148964,2,1,56,0.47
148964,2,1,57,0.3099
148964,2,1,58,0.3223
148964,2,1,59,0.6803
148964,2,1,60,0.3596
148964,2,1,61,0.337
148964,2,1,62,0.6474
148964,2,1,63,0.4556
148964,2,1,64,0.4407
148964,2,1,65,0.5067
148964,2,1,66,0.5301
148964,2,1,67,0.4771
148964,2,1,68,0.8123
148964,2,1,69,0.3014
148964,2,1,70,0.4442
148964,2,1,71,0.6284
148964,2,1,72,0.6875
148964,2,1,73,0.4708
148964,2,1,74,0.4864
148964,2,1,75,0.4787
148964,2,1,76,0.7348
148964,2,1,77,0.4663
148964,2,1,78,0.7266
148964,2,1,79,0.7218
148964,2,1,80,0.4786
148964,2,1,81,0.3755
148964,2,1,82,0.4988
148964,2,1,83,0.695
148964,2,1,84,0.3568
148964,2,1,85,0.5219
148964,2,1,86,0.5009
148964,2,1,87,0.6818
147259,1,1,0,0.5812
147259,1,1,1,0.7056
147259,1,1,2,0.7489
147259,1,1,3,0.445
147259,1,1,4,0.5945
147259,1,1,5,0.708
147259,1,1,6,0.6956
147259,1,1,7,0.3826
147259,1,1,8,0.8265
147259,1,1,9,0.5914
147259,1,1,10,0.3153
147259,1,1,11,0.4911
147259,1,1,12,0.2847
147259,1,1,13,0.4605
147259,1,1,14,0.3166
147259,1,1,15,0.5744
147259,1,1,16,0.5516
147259,1,1,17,0.5728
147259,1,1,18,0.3315
147259,1,1,19,0.7533
147259,1,1,20,0.4067
147259,1,1,21,0.7374
147259,1,1,22,0.4125
147259,1,1,23,0.2915
147259,1,1,24,0.2884
147259,1,1,25,0.4202
147259,1,1,26,0.5239
147259,1,1,27,0.6557
147259,1,1,28,0.4408
147259,1,1,29,0.6864
147259,1,1,30,0.4587
147259,1,1,31,0.6685
147259,1,1,32,0.3321
147259,1,1,33,0.481
147259,1,1,34,0.6344
147259,1,1,35,0.6291
147259,1,1,36,0.3511
147259,1,1,37,0.4263
147259,1,1,38,0.349
147259,1,1,39,0.4808
147259,1,1,40,0.2881
147259,1,1,41,0.363
147259,1,1,42,0.4731
147259,1,1,43,0.5828
147259,1,1,44,0.6327
147259,1,1,45,0.3539
147259,1,1,46,0.4837
147259,1,1,47,0.6471
147259,1,1,48,0.4613
147259,1,1,49,0.6548
147259,1,1,50,0.4794
147259,1,1,51,0.7147
147259,1,1,52,0.3173
147259,1,1,53,0.2799
147259,1,1,54,0.4408
147259,1,1,55,0.43
147259,1,1,56,0.4424
147259,1,1,57,0.3757
147259,1,1,58,0.4104
147259,1,1,59,0.3664
147259,1,1,60,0.5477
147259,1,1,61,0.4547
147259,1,1,62,0.3905
147259,1,1,63,0.6793
147259,1,1,64,0.4151
147259,1,1,65,0.3618
147259,1,1,66,0.3005
147259,1,1,67,0.2725
103213,4,1,0,0.6847
103213,4,1,1,0.3536
103213,4,1,2,0.3654
103213,4,1,3,0.6409
103213,4,1,4,0.6948
103213,4,1,5,0.7193
103213,4,1,6,0.4195
103213,4,1,7,0.4797
103213,4,1,8,0.7006
103213,4,1,9,0.3045
103213,4,1,10,0.7323
103213,4,1,11,0.6175
103213,4,1,12,0.7037
103213,4,1,13,0.3043
103213,4,1,14,0.5471
103213,4,1,15,0.7265
103213,4,1,16,0.2472
103213,4,1,17,0.4413
103213,4,1,18,0.3698
103213,4,1,19,0.4356
103213,4,1,20,0.3069
103213,4,1,21,0.7814
103213,4,1,22,0.3827
103213,4,1,23,0.4433
103213,4,1,24,0.1555
103213,4,1,25,0.3577
103213,4,1,26,0.372
103213,4,1,27,0.6105
103213,4,1,28,0.2877
103213,4,1,29,0.4438
103213,4,1,30,0.4434
103213,4,1,31,0.4316
103213,4,1,32,0.6837
103213,4,1,33,0.8534
103213,4,1,34,0.4575
103213,4,1,35,0.3918
103213,4,1,36,0.2067
