target_id,target_index,case,node_index,node_mask_value,feature0,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19
148964,2,1,0,0.4149,0.44,0.4383,0.4347,0.4393,0.4332,0.4393,0.4355,0.4432,0.4353,0.4408,0.4406,0.4332,0.4401,0.4515,0.4351,0.4427,0.439,0.4408,0.446,0.4523
148964,2,1,1,0.4474,0.4333,0.4358,0.4375,0.4396,0.4364,0.4327,0.4314,0.4333,0.4339,0.4392,0.435,0.4328,0.4384,0.4457,0.4315,0.444,0.4413,0.4498,0.4336,0.4363
148964,2,1,2,0.4845,0.4325,0.433,0.4382,0.4509,0.4349,0.4401,0.4399,0.431,0.4332,0.4371,0.4384,0.4395,0.4462,0.4317,0.4356,0.4265,0.438,0.4378,0.448,0.4418
148964,2,1,3,0.4513,0.4382,0.44,0.4333,0.4404,0.4452,0.4372,0.4428,0.4321,0.4451,0.4487,0.4399,0.4387,0.4418,0.4309,0.4371,0.4452,0.4341,0.4301,0.4424,0.4494
148964,2,1,4,0.4693,0.4351,0.4367,0.4385,0.4455,0.4333,0.4377,0.438,0.4377,0.4362,0.4343,0.4413,0.4335,0.4398,0.442,0.4421,0.4326,0.4464,0.4466,0.4344,0.4362
148964,2,1,5,0.4331,0.4422,0.4429,0.4384,0.4399,0.4418,0.4329,0.4423,0.436,0.4446,0.4348,0.4464,0.4379,0.4442,0.4415,0.4486,0.4436,0.4442,0.4329,0.4355,0.4431
148964,2,1,6,0.4512,0.4391,0.4355,0.4425,0.4347,0.4317,0.4341,0.4416,0.43,0.4419,0.4394,0.4406,0.4459,0.4403,0.4387,0.4403,0.4456,0.441,0.446,0.4429,0.4376
148964,2,1,7,0.4285,0.437,0.437,0.4303,0.4331,0.4396,0.4313,0.4387,0.4355,0.4397,0.4393,0.4348,0.4373,0.4412,0.4374,0.444,0.4343,0.4381,0.429,0.4348,0.4338
148964,2,1,8,0.4734,0.433,0.4413,0.433,0.4334,0.4407,0.4413,0.4348,0.443,0.4372,0.4379,0.4337,0.4391,0.4335,0.4292,0.4425,0.4314,0.4404,0.4427,0.4491,0.4364
148964,2,1,9,0.4513,0.4407,0.4322,0.4397,0.437,0.4351,0.4452,0.4352,0.4334,0.4384,0.4429,0.4324,0.4299,0.4445,0.435,0.4433,0.4405,0.4394,0.4349,0.4309,0.4429
148964,2,1,10,0.4209,0.4376,0.4432,0.4378,0.4341,0.4345,0.4334,0.4285,0.4365,0.4443,0.4388,0.4341,0.4392,0.437,0.432,0.4402,0.439,0.4404,0.4348,0.4447,0.4329
148964,2,1,11,0.3973,0.4426,0.4329,0.4445,0.4396,0.4418,0.44,0.4436,0.4381,0.4389,0.4351,0.4396,0.4345,0.4457,0.4347,0.4452,0.4445,0.4373,0.4406,0.4414,0.441
148964,2,1,12,0.3984,0.4329,0.4417,0.4331,0.4359,0.432,0.4376,0.4383,0.4356,0.4337,0.4355,0.4338,0.4451,0.4353,0.4365,0.4344,0.4386,0.4278,0.4391,0.4383,0.4424
147259,1,1,0,0.4212,0.4398,0.4467,0.4428,0.4377,0.4408,0.4314,0.4349,0.4439,0.4406,0.4489,0.4367,0.4354,0.4324,0.4308,0.4459,0.4439,0.443,0.4305,0.451,0.4365
147259,1,1,1,0.4494,0.4362,0.4355,0.4406,0.4334,0.4335,0.4345,0.4345,0.447,0.4414,0.4342,0.435,0.4465,0.4327,0.4305,0.4292,0.436,0.4279,0.4394,0.4416,0.4445
147259,1,1,2,0.4667,0.4362,0.4432,0.4304,0.4403,0.4357,0.4341,0.442,0.4351,0.434,0.4393,0.4376,0.4273,0.4224,0.4335,0.4407,0.4376,0.4446,0.4415,0.4491,0.4331
