name,value
model_type,explainability
gnn_layer,graphconv
pooling_method,target
obs_window_start,1990
obs_window_end,2010
num_workers,1
batchsize,250
max_epochs,25
patience,5
learning_rate,0.001
main_hidden_dim,20
lstm_hidden_dim,20
gamma,1
alpha,1
beta,1
delta,1
dropout_rate,0.5
device,cpu
include_longitudinal,True
num_features_static,3
num_features_alt_static,14
num_features_longitudinal,20
num_batches_train,111
num_samples_train_dataset,27565
num_samples_train_minority_class,3050
num_samples_train_majority_class,24515
num_batches_validate,16
num_samples_valid_dataset,3872
num_samples_valid_minority_class,434
num_samples_valid_majority_class,3438
num_batches_test,32
outpath,/content/gdrive/My Drive/CS598 DLH Project/results
outname,explainability_experiment
loss,bce_weighted_sum
threshold_opt,auc
threshold,0.5073568820953369
training_time,4257.384213924408
metric_auc_roc,0.7990347316592377
metric_auc_prc,0.3031034996529286
metric_f1,0.3487437185929648
metric_recall,0.7949599083619702
metric_mcc,0.2889537702521706
metric_ts,0.21119902617163724
metric_bss,-0.9632694122570156
true_negatives,4574
false_positives,2413
false_negatives,179
true_positives,694
